#node	identifier	node_degree
NASP	9606.ENSP00000255120	21
NBEAL2	9606.ENSP00000415034	0
NBPF9	9606.ENSP00000477979	0
NCL	9606.ENSP00000318195	10
NCOA4	9606.ENSP00000463027	2
NDUFV1	9606.ENSP00000497587	11
NEDD4	9606.ENSP00000424827	11
NEIL1	9606.ENSP00000347170	0
NFKBIA	9606.ENSP00000216797	12
NFKBIZ	9606.ENSP00000325663	0
NIBAN3	9606.ENSP00000335040	0
NKTR	9606.ENSP00000232978	0
NLRC5	9606.ENSP00000262510	0
NME2	9606.ENSP00000376886	2
NONO	9606.ENSP00000276079	6
NOP53	9606.ENSP00000246802	24
NOP56	9606.ENSP00000370589	34
NOP58	9606.ENSP00000264279	32
NPIPB12	9606.ENSP00000447597	0
NPIPB13	9606.ENSP00000429734	0
NPIPB3	9606.ENSP00000444096	0
NPIPB4	9606.ENSP00000404439	0
NPIPB5	9606.ENSP00000440703	0
NPM1	9606.ENSP00000296930	44
NR4A1	9606.ENSP00000440864	1
NREP	9606.ENSP00000378996	0
NUMA1	9606.ENSP00000377298	5
NXF1	9606.ENSP00000436679	9
OAZ1	9606.ENSP00000473381	0
OGA	9606.ENSP00000354850	1
OGT	9606.ENSP00000362824	6
P4HB	9606.ENSP00000327801	8
PA2G4	9606.ENSP00000302886	84
PABPC1	9606.ENSP00000313007	30
PABPC4	9606.ENSP00000361949	5
PABPN1	9606.ENSP00000216727	10
PAN3	9606.ENSP00000370345	2
PAPOLA	9606.ENSP00000216277	9
PARP1	9606.ENSP00000355759	23
PARP15	9606.ENSP00000417214	0
PARVG	9606.ENSP00000391583	5
PAX5	9606.ENSP00000350844	1
PBXIP1	9606.ENSP00000357448	0
PCBP1	9606.ENSP00000305556	33
PCBP2	9606.ENSP00000352438	30
PDCD6IP	9606.ENSP00000411825	2
PDIA3	9606.ENSP00000300289	12
PDLIM1	9606.ENSP00000360305	2
PER1	9606.ENSP00000314420	2
PFKL	9606.ENSP00000269848	0
PFN1	9606.ENSP00000225655	7
PGGHG	9606.ENSP00000387185	0
PGK1	9606.ENSP00000362413	3
PHYKPL	9606.ENSP00000310978	0
PIEZO1	9606.ENSP00000301015	0
PIK3AP1	9606.ENSP00000339826	3
PIK3CD	9606.ENSP00000366563	7
PIK3R1	9606.ENSP00000428056	28
PILRB	9606.ENSP00000391748	1
PKD1	9606.ENSP00000262304	0
PKM	9606.ENSP00000320171	6
PKN1	9606.ENSP00000343325	21
PLCG1	9606.ENSP00000244007	11
PLXNB2	9606.ENSP00000352288	1
PLXND1	9606.ENSP00000317128	1
PMAIP1	9606.ENSP00000326119	1
PNISR	9606.ENSP00000496842	2
PNN	9606.ENSP00000216832	10
POLE	9606.ENSP00000322570	7
POLR2A	9606.ENSP00000461879	62
PPIA	9606.ENSP00000419425	13
PPP1R15A	9606.ENSP00000200453	0
PPP1R18	9606.ENSP00000480270	0
PPP2CA	9606.ENSP00000418447	19
PPP6R1	9606.ENSP00000414202	0
PRDX1	9606.ENSP00000262746	0
PRKAR1A	9606.ENSP00000376475	8
PRKCSH	9606.ENSP00000466134	5
PROM1	9606.ENSP00000426809	0
PRPF8	9606.ENSP00000460348	15
PRRC2A	9606.ENSP00000365201	9
PSAP	9606.ENSP00000378394	0
PSMA6	9606.ENSP00000261479	7
PSMB4	9606.ENSP00000290541	9
PSMD2	9606.ENSP00000310129	7
PSME1	9606.ENSP00000372155	2
PTBP1	9606.ENSP00000349428	27
PTGES3	9606.ENSP00000482075	13
PTGS1	9606.ENSP00000354612	0
PTK2B	9606.ENSP00000380638	3
PTMA	9606.ENSP00000344547	3
PTOV1	9606.ENSP00000375717	2
PTP4A2	9606.ENSP00000493688	0
PTPN6	9606.ENSP00000391592	10
PTPRC	9606.ENSP00000411355	3
PTPRE	9606.ENSP00000254667	0
PXDN	9606.ENSP00000252804	0
QARS1	9606.ENSP00000307567	13
RAC2	9606.ENSP00000249071	13
RACK1	9606.ENSP00000426909	114
RAD21	9606.ENSP00000297338	14
RAG1	9606.ENSP00000299440	3
RALY	9606.ENSP00000246194	12
RAN	9606.ENSP00000446215	6
RAP1B	9606.ENSP00000250559	3
RASD1	9606.ENSP00000225688	0
RASGRP2	9606.ENSP00000338864	0
RBBP4	9606.ENSP00000362592	41
RBM17	9606.ENSP00000388638	9
RBM25	9606.ENSP00000261973	17
RBM3	9606.ENSP00000365950	3
RBM38	9606.ENSP00000348538	0
RBM39	9606.ENSP00000253363	89
RBM5	9606.ENSP00000343054	11
RBM6	9606.ENSP00000266022	1
RBMX	9606.ENSP00000359645	35
RCSD1	9606.ENSP00000356828	1
REPIN1	9606.ENSP00000417291	1
RFX5	9606.ENSP00000290524	2
RHOA	9606.ENSP00000400175	25
RHOB	9606.ENSP00000272233	8
RHOT2	9606.ENSP00000321971	0
RIMKLB	9606.ENSP00000350136	0
RNASET2	9606.ENSP00000426455	0
RNF10	9606.ENSP00000415682	2
RNF213	9606.ENSP00000464087	0
RNF220	9606.ENSP00000347548	1
RNPS1	9606.ENSP00000457723	16
RPL10	9606.ENSP00000413436	92
RPL10A	9606.ENSP00000363018	91
RPL11	9606.ENSP00000496250	97
RPL12	9606.ENSP00000354739	93
